PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu
88434,88434,12.0,1.0,1927,Hotel,88434.0,98101.0,DOWNTOWN,47.6122,-122.33799,60.0,5.525373254682162,15.793246493880627
956110,759392,41.0,1.0,1969,Hotel,756493.0,98101.0,DOWNTOWN,47.61393,-122.3381,43.0,7.6450533072773705,18.100296744814614
61320,61320,10.0,1.0,1926,Hotel,61320.0,98101.0,DOWNTOWN,47.61412,-122.33664,56.0,5.660979352330892,15.731636529382916
97288,60090,2.0,1.0,1999,Other,88830.0,98101.0,DOWNTOWN,47.61623,-122.33657,67.0,5.713105546117053,16.307609365403174
83008,83008,11.0,1.0,1926,Hotel,81352.0,98101.0,DOWNTOWN,47.6139,-122.33283,27.0,5.176940380381437,15.566238983044945
102761,102761,8.0,1.0,1926,Other,102761.0,98101.0,DOWNTOWN,47.61327,-122.33136,67.0,5.404972044416576,15.6557637188467
163984,163984,15.0,1.0,1904,Hotel,163984.0,98104.0,DOWNTOWN,47.60294,-122.33263,43.0,5.974216653698429,16.434643640030767
153163,133884,11.0,1.0,1969,Hotel,133884.0,98101.0,DOWNTOWN,47.60695,-122.33414,30.0,6.539961607594982,16.589139051954007
333176,272015,25.0,1.0,1998,Hotel,336640.0,98101.0,DOWNTOWN,47.60713,-122.33323,36.0,6.609308811083168,17.109163967888286
65009,65009,9.0,1.0,1928,Hotel,65009.0,98104.0,DOWNTOWN,47.60699,-122.33346,48.0,5.796756594662978,15.701982831633819
104352,104352,10.0,1.0,1916,Hotel,104352.0,98104.0,DOWNTOWN,47.60376,-122.33194,39.0,5.858847022493143,16.13343824905496
540360,540360,10.0,1.0,1916,Other,537150.0,98104.0,DOWNTOWN,47.60265,-122.33051,76.0,7.143846644402559,17.621827854829043
385274,385274,19.0,1.0,1985,Other,385274.0,98104.0,DOWNTOWN,47.60378,-122.32842,67.0,7.43864820089824,17.683786733207448
126593,126593,7.0,1.0,1928,University,125000.0,98121.0,DOWNTOWN,47.61816,-122.33629,67.0,5.963682166095531,16.24417193569497
67224,67224,2.0,1.0,1930,Other,67224.0,98101.0,DOWNTOWN,47.615,-122.33081,67.0,2.315501318260592,14.08571907185736
171866,133585,10.0,1.0,2001,Hotel,128909.0,98101.0,DOWNTOWN,47.61784,-122.32966,57.0,5.797970813310776,16.219018866344626
68410,52210,5.0,1.0,1978,Hotel,47994.0,98121.0,DOWNTOWN,47.61558,-122.34186,57.0,4.863217453310182,15.309922617717225
81871,81871,4.0,1.0,1994,Hotel,81871.0,98105.0,NORTHEAST,47.66583,-122.29965,29.0,5.375278407684165,15.71291592712419
110356,110356,2.0,1.0,1955,Self-Storage Facility,26225.0,98105.0,NORTHEAST,47.66172,-122.29598,67.0,1.5953389880545987,12.670956354385986
175015,175015,3.0,1.0,1954,K-12 School,175015.0,98103.0,NORTHWEST,47.68891,-122.33553,95.0,5.516850305304563,15.760669210431033
332210,126240,24.0,1.0,1969,Hotel,348630.0,98101.0,DOWNTOWN,47.60946,-122.33337,67.0,5.691473698188603,16.598247301911137
150453,115718,7.0,1.0,2000,Hotel,107547.0,98109.0,LAKE UNION,47.62001,-122.34274,84.0,5.30305612089521,15.719882384569159
116300,88100,6.0,1.0,1997,Hotel,88490.0,98109.0,LAKE UNION,47.62025,-122.34314,80.0,5.096139981042732,15.578115209171504
155602,118858,6.0,1.0,1998,Hotel,155602.0,98119.0,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,81.0,5.035392945221982,15.737845116755992
56072,56072,3.0,1.0,1911,K-12 School,56072.0,98136.0,EAST,47.63442,-122.30793,76.0,4.9927428412546675,14.989474182393874
54984,54984,2.0,1.0,1962,Small- and Mid-Sized Office,54984.0,98122.0,CENTRAL,47.60823,-122.30956,71.0,4.488411625377895,15.031968695130814
93397,93397,2.0,1.0,1970,Senior Care Community,93397.0,98133.0,NORTHWEST,47.72426,-122.35599,1.0,6.413622878157807,16.61294822203779
179014,179014,3.0,1.0,1965,Medical Office,179014.0,98122.0,EAST,47.61244,-122.3214,48.0,6.068055149269695,16.630982508920763
76631,76631,7.0,1.0,1908,Hotel,76631.0,98104.0,EAST,47.60898,-122.32693,71.0,5.575001684790276,15.797719504432823
58320,58320,2.0,1.0,1929,Retail Store,72072.0,98109.0,LAKE UNION,47.62237,-122.33805,96.0,3.6903783302376723,13.864062241318464
389000,389000,1.0,1.0,1962,Other,368000.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,67.0,6.410848996804957,16.979253262582553
91213,91213,1.0,1.0,1962,Other,65000.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,67.0,5.844123959209273,15.912442804053937
396085,396085,5.0,1.0,1938,Other,278500.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,67.0,6.691090693765636,16.857889127815785
52000,52000,2.0,1.0,1962,Other,52000.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,67.0,4.6330771392411,14.818481612035468
60696,60696,1.0,1.0,1928,Other,108000.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,67.0,1.9615022438151495,13.683057797692378
262048,262048,2.0,1.0,1928,Other,296000.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,67.0,6.197929785369379,16.84676676808224
67743,67743,3.0,1.0,1923,K-12 School,67743.0,98112.0,EAST,47.62548,-122.30828,34.0,4.380149874661021,14.788892145840842
194104,194104,6.0,1.0,1908,K-12 School,194104.0,98112.0,EAST,47.62644,-122.30429,100.0,5.498110404253996,15.643255142851357
56521,56521,4.0,1.0,1941,Other,49000.0,98115.0,NORTHEAST,47.67524,-122.31534,67.0,3.8137484361598055,15.665166696232612
69138,69138,3.0,1.0,2002,Hotel,70609.0,98133.0,NORTHWEST,47.72551,-122.3423,78.0,4.500031867864786,14.991842550528414
284100,284100,6.0,1.0,1998,Other,189750.0,98111.0,DOWNTOWN,47.60804,-122.3367,67.0,6.064064239522326,16.499370725162287
