PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu,BuildingAge,AvgFloorArea,GFATotal_per_Building,PrimaryPropertyType_grouped,log_PropertyGFATotal,log_LargestPropertyUseTypeGFA,log_AvgFloorArea
88434,88434,12.0,1.0,1927,Hotel,88434.0,98101.0,DOWNTOWN,47.6122,-122.33799,60.0,5.525373254682162,15.793246493880629,89,7369.5,88434.0,Hotel,11.390023097868895,11.390023097868895,8.905240825487333
956110,759392,41.0,1.0,1969,Hotel,756493.0,98101.0,DOWNTOWN,47.61393,-122.3381,43.0,7.64505330727737,18.100296744814614,47,23319.756097560974,956110.0,Hotel,13.770629294080045,13.536449880916702,10.057099062647271
61320,61320,10.0,1.0,1926,Hotel,61320.0,98101.0,DOWNTOWN,47.61412,-122.33664,56.0,5.660979352330892,15.731636529382916,90,6132.0,61320.0,Hotel,11.023877640745798,11.023877640745798,8.721439305625983
97288,60090,2.0,1.0,1999,Other,88830.0,98101.0,DOWNTOWN,47.61623,-122.33657,67.0,5.713105546117053,16.307609365403174,17,48644.0,97288.0,Other,11.48544120936798,11.394490967158449,10.792304307409529
83008,83008,11.0,1.0,1926,Hotel,81352.0,98101.0,DOWNTOWN,47.6139,-122.33283,27.0,5.176940380381437,15.566238983044943,90,7546.181818181818,83008.0,Hotel,11.326704314635162,11.306552989656216,8.928929503445822
102761,102761,8.0,1.0,1926,Other,102761.0,98101.0,DOWNTOWN,47.61327,-122.33136,67.0,5.404972044416576,15.6557637188467,90,12845.125,102761.0,Other,11.540170913860424,11.540170913860424,9.460797488425852
163984,163984,15.0,1.0,1904,Hotel,163984.0,98104.0,DOWNTOWN,47.60294,-122.33263,43.0,5.974216653698429,16.434643640030767,112,10932.266666666666,163984.0,Hotel,12.007530239208668,12.007530239208668,9.29956540812456
153163,133884,11.0,1.0,1969,Hotel,133884.0,98101.0,DOWNTOWN,47.60695,-122.33414,30.0,6.539961607594982,16.589139051954007,47,13923.90909090909,153163.0,Hotel,11.9392645217297,11.804736501505687,9.541434536293679
333176,272015,25.0,1.0,1998,Hotel,336640.0,98101.0,DOWNTOWN,47.60713,-122.33323,36.0,6.609308811083168,17.109163967888286,18,13327.04,333176.0,Hotel,12.716429159281265,12.726772359619336,9.4976253656026
65009,65009,9.0,1.0,1928,Hotel,65009.0,98104.0,DOWNTOWN,47.60699,-122.33346,48.0,5.796756594662978,15.70198283163382,88,7223.222222222223,65009.0,Hotel,11.082296383198514,11.082296383198514,8.885194856282359
104352,104352,10.0,1.0,1916,Hotel,104352.0,98104.0,DOWNTOWN,47.60376,-122.33194,39.0,5.858847022493143,16.13343824905496,100,10435.2,104352.0,Hotel,11.555534661493144,11.555534661493144,9.2530358105038
540360,540360,10.0,1.0,1916,Other,537150.0,98104.0,DOWNTOWN,47.60265,-122.33051,76.0,7.143846644402559,17.621827854829043,100,54036.0,540360.0,Other,13.199992713700011,13.194034525770327,10.897424276099398
385274,385274,19.0,1.0,1985,Other,385274.0,98104.0,DOWNTOWN,47.60378,-122.32842,67.0,7.43864820089824,17.683786733207448,31,20277.57894736842,385274.0,Other,12.861712644003578,12.861712644003578,9.917320383621211
126593,126593,7.0,1.0,1928,University,125000.0,98121.0,DOWNTOWN,47.61816,-122.33629,67.0,5.963682166095531,16.24417193569497,88,18084.714285714286,126593.0,University,11.748740394204184,11.736077016252437,9.8028776396369
67224,67224,2.0,1.0,1930,Other,67224.0,98101.0,DOWNTOWN,47.615,-122.33081,67.0,2.315501318260592,14.08571907185736,86,33612.0,67224.0,Other,11.115800481137065,11.115800481137065,10.422668175884853
171866,133585,10.0,1.0,2001,Hotel,128909.0,98101.0,DOWNTOWN,47.61784,-122.32966,57.0,5.797970813310776,16.219018866344626,15,17186.6,171866.0,Hotel,12.054476200865155,11.76686976543715,9.751943472573819
68410,52210,5.0,1.0,1978,Hotel,47994.0,98121.0,DOWNTOWN,47.61558,-122.34186,57.0,4.863217453310182,15.309922617717223,38,13682.0,68410.0,Hotel,11.13328890939415,10.778852117797637,9.52390946537981
81871,81871,4.0,1.0,1994,Hotel,81871.0,98105.0,NORTHEAST,47.66583,-122.29965,29.0,5.375278407684165,15.71291592712419,22,20467.75,81871.0,Hotel,11.312912331044872,11.312912331044872,9.926654611817662
110356,110356,2.0,1.0,1955,Self-Storage Facility,26225.0,98105.0,NORTHEAST,47.66172,-122.29598,67.0,1.5953389880545987,12.670956354385986,61,55178.0,110356.0,Self-Storage Facility,11.611475844199505,10.17450656409137,10.918337725098906
